期末考是什麼時候?,NA
想要加選課程需要寄Email給誰?,rogerwu212@gmail.com
出席率佔總成績的百分比?,NA
NLP 有哪些應用場景?,Retriever 回傳的 Top-k 品質參差不齊時、Context Compression/Filtering、Metadata Filter、多類型文件混在一起時（例如 PDF + FAQ）
期中考的範圍是什麼?,C1~C5
期中考佔總成績多少百分比?,20%
期末專題佔總成績多少百分比?,30%
遲交作業最高可以拿幾分?,NA
老師的辦公室在哪裡?,NA
請假需要在上課前幾小時完成?,NA
什麼是 Token?,Token 是指在自然語言處理中，將文字或單詞分割成最小單位的結果，例如一個單詞、一个字符或一个符號
什麼是 Vocabulary?,the set of “all” words
什麼是 Corpus?,Corpus 指的是一個大型的文本資料庫，例如 C4（Colossal Clean Crawled Corpus），用於訓練和測試自然語言處理模型。它包含大量無標註的純文字，供模型學習和預測不同長度的文本
什麼是 N-Gram?,N-Gram 是一個語言模型，尤其是 Markov 模型的一種，用于預測文本中的下一個詞彙，根據前面的詞彙來生成新的詞彙。例如，在生成詩歌時，會使用前兩個詞彙來預測下一個詞彙
Bigram 的公式是什麼?,NA
什麼是 Markov Property?,a very restrictive assumption on the dependency
N-Gram 模型有哪些應用?,語音辨識、自動完成、翻譯、拼字檢查
什麼是 Article Spinning?,Article Spinning 是一種重新撰寫文章的過程，目的是使文章在搜索引擎中顯得獨特，幫助網站所有者減少內容創建的努力，節省時間和成本，並通過鏈接建立提升 SEO 效果
Article Spinning 的目的是什麼?,Article Spinning 的目的是幫助網站所有者減少內容創建的努力，節省時間和成本，並通過連結建立（link-building）提升搜索引擎優化（SEO），使網站在搜索引擎中排名更高
什麼是 TF-IDF?,Intuitive Idea
Bag of Words 是什麼?,“bag of words” 是一种不考虑词序的自然語言處理（NLP）方法，將文本表示為一个詞彙的集合，忽略詞彙之間的順序關係。這種方法被用於向量模型和傳統機器學習模型中
什麼是 Topic Modeling?,Topic Modeling是一種無監督的機器學習技術，用于文本分析，能夠在不需要人工干預的情況下，從文檔集合中發現潛在的主題，幫助組織、總結和理解大量的文本數據。它與分類不同，主題不是預先定義的，而是從數據中的模式中推導出來的
LDA 是什麼?,LDA（Latent Dirichlet Allocation）是一種主題模型，將文件視為多個主題的混合體，每個主題又是對詞彙的分佈。它利用Dirichlet先驗來控制主題分佈，並使用貝葉斯推斷技術，如Gibbs採樣或變分推斷，來推測文件的主題分佈。LDA可以用來推測文件的主題或內容，例如根據文件中的詞彙來推測它的主題分佈
NMF 和 LDA 有什麼差異?,NMF（非負矩陣分解）和 LDA（Latent Dirichlet Allocation）都是用於文檔主題模型的技術，但它們之間存在一些差異。NMF 是一種基於矩陣分解的方法，旨在找到文檔和主題之間的非負矩陣分解，以表示文檔的主題分佈。另一方面，LDA 是一種基於貝葉斯推理的方法，假設文檔是由一組主題組成，每個主題又由一組詞彙組成。LDA 使用 Dirichlet 分佈來模擬文檔的主題分佈。兩者的主要差異在於 NMF 是基於矩陣分解的，而 LDA 是基於概率模型的。此外，LDA 還有一個重要的評估指標叫做 Coherence Score，用於衡量主題的凝聚性和意義相關性
什麼是 Latent Semantic Analysis?,Latent Semantic Analysis (LSA) 是一種主題模型技術，適用於文本分析，通過 Singular Value Decomposition (SVD) 降低維度並捕捉主題與詞彙之間的關係，特別適合於發現同義詞關係和處理雜亂的數據
為什麼要從傳統 NLP 轉向深度學習?,隨著深度神經網路的興起，Seq2Seq 和 Transformer 架構逐漸取代規則方法，能從大量標註資料中自動學習自然語言到 SQL 的映射
深度學習在 NLP 中有哪些優勢?,基於深度學習的方法可以從大量標註資料中自動學習自然語言到 SQL 的映射，且 Multi-Head Attention 允許從不同角度學習語義關聯。這些方法包括 Seq2Seq 和 Transformer 架構，能夠取代傳統的規則方法
使用深度學習做 NLP 需要注意什麼?,使用深度學習做 NLP 需要注意以下幾點：需要大量標註資料集，模型可能無法準確生成 SQL，如果模型在訓練中沒有見過特定資料庫結構，它可能會錯誤地選擇欄位或表，生成符合語法結構，但無法執行的 SQL
什麼是 Word Embedding?,"Word Embedding 是一種將詞彙轉換為數值向量的技術，讓詞彙能夠在高維空間中表達其語義關係。這種技術讓詞彙能夠根據其意義相似度在空間中聚集，例如 ""king"" 和 ""queen"" 的向量會相近，而 ""apple"" 的向量則會遠離它們。Word Embedding 可以通過預測上下文、詞彙共現次數等方法學習，常見的 Word Embedding 技術包括 GloVe、FastText、BERT 等"
RNN 有什麼缺點?,"RNN 的缺點包括：
梯度爆炸和梯度消失問題，導致模型不穩定甚至無法訓練
難以進行並行計算，因為處理下一個詞必須知道前一個詞的結果
難以捕捉到序列中長距離詞之間的依賴關係，儘管LSTM和GRU等RNN變體都設計來處理梯度消失問題，但實際效果仍有限"
Transformer 相比 RNN 有什麼優勢?,"Transformer 相比 RNN 有以下優勢：
並行計算能力、能夠同時處理整個序列的所有元素、能夠更好地捕捉長距離關係、不容易出現梯度爆炸和梯度消失問題"
Transformer 是哪一年推出的?,2017年
什麼是 Attention Mechanism?,Attention Mechanism是一種讓模型在處理序列時，根據句子中其他詞的重要性來重新表示每個詞的方法，通過計算每個詞之間的關係和重要性，來重建自己的表示。它包括Self-Attention和Multi-Head Attention兩種形式，前者讓每個詞都根據全句的語境來重新理解自己，後者則是把Self-Attention這個動作做好幾次，每次用不同的視角
什麼是 ALBERT?,(30000 x 128) + (128 x 768) ≈ 394 萬個參數
ALBERT 的主要特點有哪些?,參數共享、嵌入矩陣分解、句子順序預測
ALBERT 和 BERT 的差異是什麼?,ALBERT 和 BERT 的差異在於層間轉換的穩定性。ALBERT 的每一層轉換矩陣都相同，導致向量狀態的轉移變得非常平滑，而 BERT 的轉換則可能會突然發生巨大的改變，表示網路的函數空間是崎嶇的。這種穩定性使得 ALBERT 的損失函數 landscape 更平滑，能提升模型在面對未見過資料時的表現
ALBERT 的參數共享是什麼意思?,ALBERT 的參數共享是指在所有 Transformer 層之間實現參數共享，也就是說每一層都使用相同的參數，而不像 BERT 每層都有獨立參數，這樣做大幅減少了模型總參數量，降低了存儲和部署成本
什麼是 Sentence Order Prediction?,"句子順序預測（SOP, Sentence Order Prediction）是要求模型判斷兩個句子的先後順序，從而有助於模型更好地理解句子間的語義連貫性"
什麼是 QA 系統?,QA 系統（Question Answering System）是指使用者輸入問題，系統自動從資料中找到正確答案的系統。它可以根據答案形式分類為抽取式 QA（Extractive）和生成式 QA（Generative），或根據任務類型分類為對話式問答（Conversational/Dialogue QA）和多跳問答（Multi-hop QA）等
抽取式 QA 和生成式 QA 有什麼差異?,抽取式 QA（Extractive）是在給定上下文中抽取一段文字為答案，而生成式 QA（Generative）則是重組上下文資訊，自然語言生成答案。抽取式 QA 僅預測答案的開始與結束位置，常用於特定上下文的問答；生成式 QA 則可用於開放域問答或複雜推理，需要模型自行生成答案
什麼是封閉式 QA?,封閉式 QA（Closed-book）是依賴模型內部知識作答的問答系統，不需要查詢外部資料，例如早期的 ChatGPT 和 GPT-3
什麼是開放式 QA?,開放式 QA（Open-domain）是指系統先查資料再回答的問答模式，需要 retrieval 模組，例如 RAG，從外部資料中查找答案
SQuAD 是什麼?,SQuAD 是一個抽取式 QA（Extractive Question Answering）資料集，使用者輸入問題，系統自動從給定上下文中抽取一段文字為答案
什麼是 Multi-hop QA?,多跳問答（Multi-hop QA）是一種需要根據多個資訊源或多個步驟來回答問題的問答任務，通常需要跨多個文檔或段落來找到答案
什麼是 Text-to-SQL?,Text-to-SQL 是一種技術，指的是將自然語言問題轉換為 SQL 查詢語言的過程，例如 Spider 和 Spider 2.0 就是這種技術的應用，目的是將使用者輸入的語句轉換為 SQL 查詢語言，以便執行查詢操作
Text-to-SQL 中的 Data Dictionary 是什麼?,Data Dictionary 是一個儲存資料庫中資料欄位名稱、資料類型等資訊的字典，在 Text-to-SQL 中，Data Dictionary 用於儲存資料庫的結構和欄位資訊，以便於生成 SQL 查詢語句。它可以幫助系統了解資料庫的結構和資料的意義，從而生成正確的 SQL 查詢語句
什麼是 Context-Free Grammar?,"上下文無關文法（Context-Free Grammar, CFG）是使用遞迴規則來生成語法樹（Parsing Tree）解析自然語言句子，將其轉換為適合 SQL 生成的結構化表示，只有符合語法的語句才能被合法產生"
期中考是否可以帶書?,No open book
加選的優先順序是什麼?,資工系博士、資工系碩二、資工系碩一、資工系大四、外系研究生、外系大四生
課堂練習佔總成績多少百分比?,20%
